school_id,school_name,province,city,program_types,current_icon,official_logo_file,official_logo_source,source_url,license_or_permission,status,notes
"10610","四川大学","四川","成都","MBA/MEM/MPA","/static/icons/schools/10610.svg","10610.svg","","","","todo",""
"10611","重庆大学","重庆","重庆","MBA/MEM/MPA","/static/icons/schools/10611.svg","10611.svg","","","","todo",""
"10613","西南交通大学","四川","成都","MBA/MEM/MPA","/static/icons/schools/10613.svg","10613.svg","","","","todo",""
"10614","电子科技大学","四川","成都","MBA/MPA","/static/icons/schools/10614.svg","10614.svg","","","","todo",""
"10615","西南石油大学","四川","成都","MEM","/static/icons/schools/10615.svg","10615.svg","","","","todo",""
"10616","成都理工大学","四川","四川","MEM","/static/icons/schools/10616.svg","10616.svg","","","","todo",""
"10617","重庆邮电大学","重庆","重庆","MEM","/static/icons/schools/10617.svg","10617.svg","","","","todo",""
"10618","重庆交通大学","重庆","重庆","MEM","/static/icons/schools/10618.svg","10618.svg","","","","todo",""
"10619","西南科技大学","四川","绵阳","MPA","/static/icons/schools/10619.svg","10619.svg","","","","todo",""
"10623","西华大学","四川","四川","MEM","/static/icons/schools/10623.svg","10623.svg","","","","todo",""
"10626","四川农业大学","四川","雅安","MPA","/static/icons/schools/10626.svg","10626.svg","","","","todo",""
"10628","西昌学院","四川","凉山彝族自治州","MPA","/static/icons/schools/10628.svg","10628.svg","","","","todo",""
"10632","西南医科大学","四川","泸州","MPA","/static/icons/schools/10632.svg","10632.svg","","","","todo",""
"10633","成都中医药大学","四川","成都","MPA","/static/icons/schools/10633.svg","10633.svg","","","","todo",""
"10634","川北医学院","四川","南充","MPA","/static/icons/schools/10634.svg","10634.svg","","","","todo",""
"10635","西南大学","重庆","重庆","MBA/MPA","/static/icons/schools/10635.svg","10635.svg","","","","todo",""
"10636","四川师范大学","四川","成都","MEM/MPA","/static/icons/schools/10636.svg","10636.svg","","","","todo",""
"10638","西华师范大学","四川","南充","MPA","/static/icons/schools/10638.svg","10638.svg","","","","todo",""
"10643","重庆三峡学院","重庆","重庆","MPA","/static/icons/schools/10643.svg","10643.svg","","","","todo",""
"10650","四川外国语大学","重庆","重庆","MPA","/static/icons/schools/10650.svg","10650.svg","","","","todo",""
"10651","西南财经大学","四川","成都","MBA/MEM/MPA","/static/icons/schools/10651.svg","10651.svg","","","","todo",""
"10652","西南政法大学","重庆","重庆","MPA","/static/icons/schools/10652.svg","10652.svg","","","","todo",""
"10656","西南民族大学","四川","成都","MBA/MPA","/static/icons/schools/10656.svg","10656.svg","","","","todo",""
"10657","贵州大学","贵州","贵阳","MBA/MEM/MPA","/static/icons/schools/10657.svg","10657.svg","","","","todo",""
"10662","贵州中医药大学","贵州","贵阳","MPA","/static/icons/schools/10662.svg","10662.svg","","","","todo",""
"10671","贵州财经大学","贵州","贵阳","MEM/MPA","/static/icons/schools/10671.svg","10671.svg","","","","todo",""
"10672","贵州民族大学","贵州","贵阳","MPA","/static/icons/schools/10672.svg","10672.svg","","","","todo",""
"10673","云南大学","云南","昆明","MEM/MPA","/static/icons/schools/10673.svg","10673.svg","","","","todo",""
"10674","昆明理工大学","云南","昆明","MEM","/static/icons/schools/10674.svg","10674.svg","","","","todo",""
"10676","云南农业大学","云南","昆明","MEM/MPA","/static/icons/schools/10676.svg","10676.svg","","","","todo",""
"10677","西南林业大学","云南","昆明","MPA","/static/icons/schools/10677.svg","10677.svg","","","","todo",""
"10680","云南中医药大学","云南","昆明","MPA","/static/icons/schools/10680.svg","10680.svg","","","","todo",""
"10681","云南师范大学","云南","昆明","MBA/MPA","/static/icons/schools/10681.svg","10681.svg","","","","todo",""
"10689","云南财经大学","云南","昆明","MEM/MPA","/static/icons/schools/10689.svg","10689.svg","","","","todo",""
"10691","云南民族大学","云南","昆明","MPA","/static/icons/schools/10691.svg","10691.svg","","","","todo",""
"11079","成都大学","四川","成都","MBA/MEM","/static/icons/schools/11079.svg","11079.svg","","","","todo",""
"11551","重庆科技大学","重庆","重庆","MEM/MPA","/static/icons/schools/11551.svg","11551.svg","","","","todo",""
"11660","重庆理工大学","重庆","重庆","MBA/MPA","/static/icons/schools/11660.svg","11660.svg","","","","todo",""
"11799","重庆工商大学","重庆","重庆","MBA/MEM/MPA","/static/icons/schools/11799.svg","11799.svg","","","","todo",""
"13705","成都医学院","四川","成都","MPA","/static/icons/schools/13705.svg","13705.svg","","","","todo",""
"89101","四川省社会科学院","四川","成都","MBA","/static/icons/schools/89101.svg","89101.svg","","","","todo",""
"89650","中共重庆市委党校","重庆","重庆","MPA/党校","/static/icons/schools/89650.svg","89650.svg","","","","todo",""
"89651","中共四川省委党校","四川","成都","MPA/党校","/static/icons/schools/89651.svg","89651.svg","","","","todo",""
